0.01,0,0,0,0,0,0,0,0,0,0,0,0
0.02,-1.6119e-08,3.325e-05,-0.0004905,0.00014079,-8.2247e-06,0.0010513,-2.7182e-07,0.006641,-0.0981,0.028159,-0.001645,0.21027
0.03,-2.5768e-07,0.00013328,-0.0019619,0.00056318,-3.29e-05,0.0042056,-2.3029e-06,0.013256,-0.1962,0.056324,-0.0032904,0.42059
0.04,-1.307e-06,0.00030093,-0.0044142,0.0012672,-7.4028e-05,0.0094632,-8.18e-06,0.019816,-0.29429,0.084494,-0.0049361,0.63095
0.05,-4.1274e-06,0.00053758,-0.0078471,0.002253,-0.00013161,0.016825,-2.0326e-05,0.026294,-0.39237,0.11267,-0.006582,0.84133
0.06,-1.0049e-05,0.00084514,-0.01226,0.0035203,-0.00020565,0.02629,-4.2621e-05,0.032661,-0.49045,0.14085,-0.0082281,1.0518
0.07,-2.0768e-05,0.001226,-0.017654,0.0050689,-0.00029612,0.03786,-8.0503e-05,0.038891,-0.58851,0.16903,-0.0098744,1.2622
0.08,-3.8347e-05,0.001683,-0.024026,0.0068982,-0.00040299,0.051534,-0.00014098,0.044955,-0.68655,0.19721,-0.011521,1.4726
0.09,-6.5055e-05,0.0022192,-0.031378,0.0090066,-0.00052605,0.067313,-0.00023267,0.050829,-0.78458,0.22539,-0.013167,1.6831
0.1,-0.00010316,0.0028367,-0.039708,0.01139,-0.00066455,0.085198,-0.00036665,0.056492,-0.88258,0.25358,-0.014814,1.8936
0.11,-0.00015626,0.0035411,-0.049016,0.01405,-0.00081877,0.10519,-0.00055699,0.061912,-0.98056,0.28176,-0.01646,2.104
0.12,-0.0002281,0.0043379,-0.0593,0.016985,-0.00098894,0.12728,-0.00082111,0.067059,-1.0785,0.30994,-0.018107,2.3144
0.13,-0.00032246,0.0052327,-0.070561,0.020193,-0.0011751,0.15148,-0.0011798,0.071907,-1.1764,0.33812,-0.019753,2.5249
0.14,-0.00044309,0.0062307,-0.082795,0.023669,-0.0013773,0.17779,-0.0016571,0.076435,-1.2743,0.3663,-0.021399,2.7353
0.15,-0.00059377,0.0073369,-0.096004,0.027407,-0.0015952,0.20621,-0.0022806,0.080624,-1.3721,0.39448,-0.023045,2.9457
0.16,-0.00077828,0.0085564,-0.11018,0.031399,-0.0018285,0.23673,-0.0030812,0.084461,-1.4699,0.42266,-0.024691,3.1561
0.17,-0.0010004,0.0098937,-0.12534,0.035633,-0.0020764,0.26936,-0.0040929,0.087937,-1.5677,0.45083,-0.026337,3.3665
0.18,-0.001264,0.011353,-0.14146,0.040096,-0.0023385,0.3041,-0.0053535,0.091046,-1.6654,0.479,-0.027983,3.5768
0.19,-0.0015727,0.01294,-0.15855,0.044775,-0.0026136,0.34095,-0.0069038,0.093788,-1.763,0.50716,-0.029628,3.7871
0.2,-0.0019305,0.014657,-0.17661,0.049652,-0.0029009,0.37992,-0.0087882,0.096164,-1.8606,0.53532,-0.031273,3.9974
0.21,-0.0023411,0.016508,-0.19563,0.054709,-0.003199,0.421,-0.011054,0.098183,-1.958,0.56347,-0.032917,4.2076
0.22,-0.0028084,0.018498,-0.21562,0.059924,-0.0035066,0.4642,-0.013753,0.099854,-2.0555,0.59161,-0.034561,4.4177
0.23,-0.0033362,0.02063,-0.23657,0.065274,-0.0038221,0.50952,-0.016939,0.10119,-2.1528,0.61974,-0.036205,4.6278
0.24,-0.0039266,0.022904,-0.25848,0.070732,-0.0041446,0.55695,-0.020652,0.10223,-2.25,0.64786,-0.037847,4.8378
0.25,-0.0045812,0.025321,-0.28136,0.076263,-0.0044725,0.60651,-0.024945,0.10301,-2.3472,0.67596,-0.039489,5.0476
0.26,-0.0053017,0.027883,-0.30519,0.081828,-0.0048036,0.6582,-0.029879,0.10359,-2.4442,0.70405,-0.04113,5.2574
0.27,-0.0060883,0.030585,-0.32998,0.087387,-0.0051357,0.71201,-0.035503,0.10403,-2.5411,0.73213,-0.04277,5.4671
0.28,-0.00694,0.033426,-0.35573,0.092895,-0.0054661,0.76796,-0.041854,0.10441,-2.638,0.76019,-0.04441,5.6766
0.29,-0.0078547,0.036397,-0.38244,0.098301,-0.005792,0.82604,-0.048955,0.10481,-2.7347,0.78824,-0.046048,5.8861
0.3,-0.0088288,0.039492,-0.4101,0.10355,-0.0061105,0.88626,-0.056821,0.10532,-2.8312,0.81627,-0.047686,6.0954
0.31,-0.0098576,0.0427,-0.43873,0.10859,-0.0064184,0.94861,-0.065452,0.10602,-2.9277,0.84429,-0.049323,6.3046
0.32,-0.010935,0.046008,-0.46831,0.11336,-0.0067123,1.0131,-0.074838,0.10702,-3.024,0.87229,-0.050959,6.5137
0.33,-0.012054,0.049401,-0.49885,0.11779,-0.0069885,1.0797,-0.084956,0.10842,-3.1202,0.90028,-0.052594,6.7227
0.34,-0.013205,0.052863,-0.53035,0.12182,-0.0072433,1.1485,-0.095773,0.11035,-3.2163,0.92825,-0.054227,6.9315
0.35,-0.01438,0.056375,-0.56282,0.12537,-0.0074726,1.2194,-0.10724,0.11292,-3.3122,0.95619,-0.05586,7.1402
0.36,-0.015564,0.059914,-0.59625,0.12836,-0.0076723,1.2924,-0.11927,0.11623,-3.4081,0.98412,-0.057492,7.3488
0.37,-0.016743,0.063454,-0.63065,0.13073,-0.0078368,1.3676,-0.13176,0.12039,-3.5038,1.012,-0.059122,7.5572
0.38,-0.0179,0.066965,-0.66603,0.1324,-0.0079605,1.4449,-0.14458,0.12548,-3.5993,1.0399,-0.060752,7.7655
