0.32,-0.10581,0.050584,-0.43478,0.090081,-0.0062583,8.6751,-0.17919,3.4979,-2.5741,7.4626,-0.43596,55.726,0,0,1.3445,0,-0.056919,0
0.33,-0.11987,0.019994,-0.46261,0.022894,-0.001661,9.2424,-0.18166,3.6158,-2.6255,7.7027,-0.44998,57.519,0,0,1.4451,0,-0.061244,0
0.34,-0.11415,-0.016196,-0.48858,-0.053657,0.0036303,9.8267,-0.18228,3.7252,-2.674,7.9387,-0.46377,59.281,0,0,1.5375,0,-0.06515,0
0.35,-0.088875,-0.045617,-0.51333,-0.11357,0.0078811,10.43,-0.18829,3.8259,-2.719,8.1655,-0.47702,60.974,0,0,1.6249,0,-0.068841,0
0.36,-0.051742,-0.056814,-0.5399,-0.13308,0.0094759,11.053,-0.2004,3.9239,-2.7609,8.379,-0.48949,62.569,0,0,1.6616,0,-0.072154,0
0.37,-0.016406,-0.044066,-0.56972,-0.10138,0.0073933,11.691,-0.21103,4.0247,-2.8015,8.5835,-0.50144,64.096,0,0,1.7365,0,-0.075268,0
0.38,0.0025791,-0.010823,-0.60025,-0.02805,0.0021424,12.341,-0.21436,4.1216,-2.8395,8.7782,-0.51282,65.55,0,0,1.8375,0,-0.079624,0
0.39,-0.0038177,0.030049,-0.62822,0.058409,-0.0041393,13.004,-0.21507,4.2066,-2.8747,8.9627,-0.52359,66.928,0,0,1.9329,0,-0.084022,0
0.4,-0.034326,0.060842,-0.6547,0.12081,-0.0088338,13.683,-0.22202,4.2818,-2.9067,9.1357,-0.5337,68.219,0,0,2.0166,0,-0.088005,0
0.41,-0.076368,0.06698,-0.68379,0.12908,-0.0097211,14.377,-0.23454,4.3583,-2.9354,9.3002,-0.54331,69.448,0,0,2.0942,0,-0.09149,0
0.42,-0.11054,0.044309,-0.71607,0.076504,-0.0059239,15.082,-0.24283,4.4371,-2.9616,9.4558,-0.5524,70.61,0,0,2.1791,0,-0.095263,0
0.43,-0.11985,0.0024741,-0.74717,-0.01382,0.0009081,15.794,-0.24395,4.5082,-2.9856,9.6018,-0.56093,71.7,0,0,2.2585,0,-0.099168,0
0.44,-0.098617,-0.038216,-0.77501,-0.098378,0.0074289,16.517,-0.24718,4.5674,-3.0067,9.7388,-0.56893,72.723,0,0,2.3377,0,-0.10247,0
0.45,-0.056467,-0.056733,-0.80362,-0.1334,0.010407,17.255,-0.25831,4.6232,-3.0248,9.8662,-0.57638,73.674,0,0,2.3944,0,-0.10544,0
0.46,-0.014948,-0.042577,-0.83622,-0.098346,0.0079129,18.002,-0.26901,4.6833,-3.0406,9.9857,-0.58336,74.567,0,0,2.494,0,-0.10989,0
0.47,0.0034675,-0.0021964,-0.86905,-0.010083,0.00097763,18.753,-0.2716,4.7399,-3.0576,10.097,-0.58987,75.399,0,0,2.4489,0,-0.11034,0
0.48,-0.01196,0.042869,-0.89812,0.084443,-0.0066025,19.512,-0.27345,4.7846,-3.0726,10.201,-0.59594,76.175,0,0,2.5263,0,-0.11435,0
0.49,-0.053611,0.067382,-0.92681,0.13252,-0.010751,20.282,-0.28345,4.8238,-3.0847,10.296,-0.60146,76.88,0,0,2.591,0,-0.11728,0
0.5,-0.098335,0.056924,-0.95966,0.10518,-0.0088273,21.06,-0.29484,4.8673,-3.0948,10.382,-0.6065,77.526,0,0,2.647,0,-0.12537,0
